step,train_loss,val_loss,timestamp
1,3.042,3.042,2026-04-05T17:05:35.156974+00:00
10,3.134,,2026-04-05T17:05:51.709233+00:00
20,2.753,,2026-04-05T17:06:09.752563+00:00
30,2.522,,2026-04-05T17:06:25.907346+00:00
40,2.058,,2026-04-05T17:06:42.544098+00:00
50,1.601,1.601,2026-04-05T17:07:21.200757+00:00
50,1.77,,2026-04-05T17:07:23.065600+00:00
60,1.721,,2026-04-05T17:07:41.639858+00:00
70,1.479,,2026-04-05T17:07:56.509568+00:00
80,1.41,,2026-04-05T17:08:12.935470+00:00
90,1.244,,2026-04-05T17:08:30.364213+00:00
100,1.009,1.009,2026-04-05T17:09:07.606268+00:00
100,1.265,,2026-04-05T17:09:08.909815+00:00
110,1.12,,2026-04-05T17:09:26.733779+00:00
120,0.862,,2026-04-05T17:09:43.721831+00:00
130,0.976,,2026-04-05T17:10:00.150441+00:00
140,0.685,,2026-04-05T17:10:17.662807+00:00
150,0.654,0.654,2026-04-05T17:10:54.815300+00:00
150,0.564,,2026-04-05T17:10:56.112385+00:00
160,0.719,,2026-04-05T17:11:13.681323+00:00
170,0.594,,2026-04-05T17:11:30.439173+00:00
180,0.532,,2026-04-05T17:11:47.832846+00:00
190,0.492,,2026-04-05T17:12:03.465136+00:00
200,0.449,0.449,2026-04-05T17:12:40.413321+00:00
200,0.391,,2026-04-05T17:12:42.194724+00:00
