step,train_loss,val_loss,timestamp
1,0.062,0.062,2026-04-03T22:48:38.877491+00:00
10,0.046,,2026-04-03T22:48:56.981643+00:00
20,0.044,,2026-04-03T22:49:15.671167+00:00
30,0.051,,2026-04-03T22:49:33.178352+00:00
40,0.052,,2026-04-03T22:49:49.642776+00:00
50,0.065,0.065,2026-04-03T22:50:28.745370+00:00
50,0.048,,2026-04-03T22:50:30.583343+00:00
60,0.051,,2026-04-03T22:50:47.145112+00:00
70,0.049,,2026-04-03T22:51:05.346398+00:00
80,0.053,,2026-04-03T22:51:22.545970+00:00
90,0.046,,2026-04-03T22:51:41.391146+00:00
100,0.058,0.058,2026-04-03T22:52:21.355975+00:00
100,0.05,,2026-04-03T22:52:22.640539+00:00
110,0.051,,2026-04-03T22:52:38.391227+00:00
120,0.052,,2026-04-03T22:52:55.658373+00:00
130,0.048,,2026-04-03T22:53:14.544560+00:00
140,0.047,,2026-04-03T22:53:32.065078+00:00
150,0.061,0.061,2026-04-03T22:54:09.739677+00:00
150,0.057,,2026-04-03T22:54:11.242498+00:00
160,0.05,,2026-04-03T22:54:29.941087+00:00
170,0.048,,2026-04-03T22:54:47.129019+00:00
180,0.051,,2026-04-03T22:55:04.730200+00:00
190,0.05,,2026-04-03T22:55:22.604652+00:00
200,0.055,0.055,2026-04-03T22:56:02.019178+00:00
200,0.045,,2026-04-03T22:56:03.849013+00:00
210,0.05,,2026-04-03T22:56:21.753305+00:00
220,0.054,,2026-04-03T22:56:39.423953+00:00
230,0.043,,2026-04-03T22:56:58.042959+00:00
240,0.054,,2026-04-03T22:57:14.294205+00:00
250,0.052,0.052,2026-04-03T22:57:51.516160+00:00
250,0.051,,2026-04-03T22:57:53.844309+00:00
260,0.049,,2026-04-03T22:58:09.755622+00:00
270,0.051,,2026-04-03T22:58:24.924636+00:00
280,0.048,,2026-04-03T22:58:41.856006+00:00
290,0.049,,2026-04-03T22:58:59.062185+00:00
300,0.059,0.059,2026-04-03T22:59:37.316443+00:00
300,0.044,,2026-04-03T22:59:39.188513+00:00
310,0.056,,2026-04-03T22:59:56.163970+00:00
320,0.047,,2026-04-03T23:00:15.039638+00:00
330,0.046,,2026-04-03T23:00:32.604418+00:00
340,0.048,,2026-04-03T23:00:50.932714+00:00
350,0.054,0.054,2026-04-03T23:01:31.460373+00:00
350,0.045,,2026-04-03T23:01:33.081122+00:00
360,0.048,,2026-04-03T23:01:50.070204+00:00
370,0.049,,2026-04-03T23:02:07.607042+00:00
380,0.049,,2026-04-03T23:02:24.600737+00:00
390,0.046,,2026-04-03T23:02:42.330360+00:00
400,0.054,0.054,2026-04-03T23:03:21.746741+00:00
400,0.046,,2026-04-03T23:03:23.235968+00:00
410,0.044,,2026-04-03T23:03:40.958943+00:00
420,0.053,,2026-04-03T23:03:58.591948+00:00
430,0.056,,2026-04-03T23:04:15.251144+00:00
440,0.045,,2026-04-03T23:04:32.278571+00:00
450,0.05,0.05,2026-04-03T23:05:09.923460+00:00
450,0.049,,2026-04-03T23:05:11.216356+00:00
460,0.047,,2026-04-03T23:05:28.847574+00:00
466,0.053,0.053,2026-04-03T23:06:01.071267+00:00
466,0.039,,2026-04-03T23:06:03.355293+00:00
