step,train_loss,val_loss,timestamp
1,0.071,0.071,2026-04-03T22:13:09.100167+00:00
10,0.071,,2026-04-03T22:13:27.363862+00:00
20,0.069,,2026-04-03T22:13:46.182713+00:00
30,0.071,,2026-04-03T22:14:04.043480+00:00
40,0.069,,2026-04-03T22:14:20.838440+00:00
50,0.077,0.077,2026-04-03T22:15:01.186329+00:00
50,0.07,,2026-04-03T22:15:03.018317+00:00
60,0.073,,2026-04-03T22:15:19.643421+00:00
70,0.068,,2026-04-03T22:15:37.999981+00:00
80,0.073,,2026-04-03T22:15:57.146137+00:00
90,0.069,,2026-04-03T22:16:18.356157+00:00
100,0.069,0.069,2026-04-03T22:17:01.560221+00:00
100,0.068,,2026-04-03T22:17:03.054788+00:00
110,0.067,,2026-04-03T22:17:20.120745+00:00
120,0.073,,2026-04-03T22:17:38.500715+00:00
130,0.066,,2026-04-03T22:17:57.437612+00:00
140,0.066,,2026-04-03T22:18:14.882166+00:00
150,0.072,0.072,2026-04-03T22:18:52.347328+00:00
150,0.074,,2026-04-03T22:18:53.840484+00:00
160,0.065,,2026-04-03T22:19:12.656621+00:00
170,0.066,,2026-04-03T22:19:29.800016+00:00
180,0.072,,2026-04-03T22:19:47.390282+00:00
190,0.067,,2026-04-03T22:20:05.397651+00:00
200,0.067,0.067,2026-04-03T22:20:44.738675+00:00
200,0.062,,2026-04-03T22:20:46.588626+00:00
210,0.065,,2026-04-03T22:21:04.538772+00:00
220,0.072,,2026-04-03T22:21:22.300432+00:00
230,0.054,,2026-04-03T22:21:41.167835+00:00
240,0.067,,2026-04-03T22:21:57.549052+00:00
250,0.061,0.061,2026-04-03T22:22:34.837881+00:00
250,0.066,,2026-04-03T22:22:37.163542+00:00
260,0.059,,2026-04-03T22:22:53.190227+00:00
270,0.067,,2026-04-03T22:23:08.465210+00:00
280,0.065,,2026-04-03T22:23:25.343204+00:00
290,0.068,,2026-04-03T22:23:42.416580+00:00
300,0.068,0.068,2026-04-03T22:24:20.477573+00:00
300,0.061,,2026-04-03T22:24:22.338036+00:00
310,0.077,,2026-04-03T22:24:38.996459+00:00
320,0.06,,2026-04-03T22:24:57.603692+00:00
330,0.063,,2026-04-03T22:25:15.249732+00:00
340,0.064,,2026-04-03T22:25:33.652473+00:00
350,0.061,0.061,2026-04-03T22:26:14.174230+00:00
350,0.061,,2026-04-03T22:26:15.773931+00:00
360,0.062,,2026-04-03T22:26:32.993294+00:00
370,0.063,,2026-04-03T22:26:50.487050+00:00
380,0.065,,2026-04-03T22:27:07.464860+00:00
390,0.058,,2026-04-03T22:27:25.190149+00:00
400,0.061,0.061,2026-04-03T22:28:04.566715+00:00
400,0.058,,2026-04-03T22:28:06.057796+00:00
410,0.058,,2026-04-03T22:28:23.862340+00:00
420,0.068,,2026-04-03T22:28:41.437060+00:00
430,0.07,,2026-04-03T22:28:58.067418+00:00
440,0.06,,2026-04-03T22:29:15.128733+00:00
450,0.059,0.059,2026-04-03T22:29:52.748313+00:00
450,0.063,,2026-04-03T22:29:54.014083+00:00
460,0.061,,2026-04-03T22:30:11.650484+00:00
470,0.059,,2026-04-03T22:30:31.099404+00:00
480,0.061,,2026-04-03T22:30:49.142966+00:00
490,0.061,,2026-04-03T22:31:07.042303+00:00
500,0.063,0.063,2026-04-03T22:31:45.282758+00:00
500,0.053,,2026-04-03T22:31:47.139507+00:00
510,0.058,,2026-04-03T22:32:05.996642+00:00
520,0.061,,2026-04-03T22:32:22.790329+00:00
530,0.063,,2026-04-03T22:32:40.249302+00:00
540,0.065,,2026-04-03T22:32:56.827284+00:00
550,0.063,0.063,2026-04-03T22:33:32.844585+00:00
550,0.063,,2026-04-03T22:33:34.688869+00:00
560,0.059,,2026-04-03T22:33:52.469241+00:00
570,0.065,,2026-04-03T22:34:09.215786+00:00
580,0.061,,2026-04-03T22:34:27.360833+00:00
590,0.053,,2026-04-03T22:34:45.604081+00:00
600,0.059,0.059,2026-04-03T22:35:25.499142+00:00
600,0.068,,2026-04-03T22:35:27.106761+00:00
610,0.073,,2026-04-03T22:35:42.369780+00:00
620,0.053,,2026-04-03T22:36:01.439695+00:00
630,0.065,,2026-04-03T22:36:17.762322+00:00
640,0.06,,2026-04-03T22:36:33.050167+00:00
650,0.058,0.058,2026-04-03T22:37:10.648940+00:00
650,0.053,,2026-04-03T22:37:12.491529+00:00
660,0.065,,2026-04-03T22:37:29.012645+00:00
670,0.061,,2026-04-03T22:37:47.236025+00:00
680,0.061,,2026-04-03T22:38:05.009357+00:00
690,0.059,,2026-04-03T22:38:22.464075+00:00
700,0.059,0.059,2026-04-03T22:39:03.058791+00:00
700,0.055,,2026-04-03T22:39:05.471331+00:00
710,0.069,,2026-04-03T22:39:21.079199+00:00
720,0.056,,2026-04-03T22:39:39.817521+00:00
730,0.06,,2026-04-03T22:39:58.741980+00:00
740,0.055,,2026-04-03T22:40:17.429072+00:00
750,0.068,0.068,2026-04-03T22:40:54.165145+00:00
750,0.061,,2026-04-03T22:40:55.880970+00:00
760,0.051,,2026-04-03T22:41:14.954542+00:00
770,0.059,,2026-04-03T22:41:34.007913+00:00
780,0.054,,2026-04-03T22:41:51.862543+00:00
790,0.059,,2026-04-03T22:42:08.787899+00:00
800,0.064,0.064,2026-04-03T22:42:46.857984+00:00
800,0.061,,2026-04-03T22:42:48.593009+00:00
810,0.053,,2026-04-03T22:43:07.076908+00:00
820,0.057,,2026-04-03T22:43:24.470007+00:00
830,0.056,,2026-04-03T22:43:41.611707+00:00
840,0.057,,2026-04-03T22:44:00.155352+00:00
850,0.061,0.061,2026-04-03T22:44:37.502121+00:00
850,0.052,,2026-04-03T22:44:39.357592+00:00
860,0.055,,2026-04-03T22:44:56.570781+00:00
870,0.057,,2026-04-03T22:45:12.578027+00:00
880,0.061,,2026-04-03T22:45:29.881761+00:00
890,0.061,,2026-04-03T22:45:44.828365+00:00
900,0.057,0.057,2026-04-03T22:46:20.897186+00:00
900,0.059,,2026-04-03T22:46:23.284024+00:00
910,0.055,,2026-04-03T22:46:39.735907+00:00
920,0.055,,2026-04-03T22:46:56.656821+00:00
930,0.06,,2026-04-03T22:47:12.332495+00:00
932,0.056,0.056,2026-04-03T22:47:36.225987+00:00
932,0.07,,2026-04-03T22:47:38.042619+00:00
